id;name;host_id;host_name;neighbourhood;room_type; price ;minimum_nights;number_of_reviews;days open
2539;Clean & quiet apt home by the park;2787;John;Kensington;Private room; $149,00 ;1;9;365
2595;Skylit Midtown Castle;2845;Jennifer;Midtown;Entire home/apt; $225,00 ;1;45;355
3647;THE VILLAGE OF HARLEM....NEW YORK !;4632;Elisabeth;Harlem;Private room; $150,00 ;3;0;365
3831;Cozy Entire Floor of Brownstone;4869;LisaRoxanne;Clinton Hill;Entire home/apt; $89,00 ;1;270;194
5022;Entire Apt: Spacious Studio/Loft by central park;7192;Laura;East Harlem;Entire home/apt; $80,00 ;10;9;0
5099;Large Cozy 1 BR Apartment In Midtown East;7322;Chris;Murray Hill;Entire home/apt; $200,00 ;3;74;129
5121;BlissArtsSpace!;7356;Garon;Bedford-Stuyvesant;Private room; $60,00 ;45;49;0
5178;Large Furnished Room Near B'way ;8967;Shunichi;Hell's Kitchen;Private room; $79,00 ;2;430;220
5203;Cozy Clean Guest Room - Family Apt;7490;MaryEllen;Upper West Side;Private room; $79,00 ;2;118;0
5238;Cute & Cozy Lower East Side 1 bdrm;7549;Ben;Chinatown;Entire home/apt; $150,00 ;1;160;188
5295;Beautiful 1br on Upper West Side;7702;Lena;Upper West Side;Entire home/apt; $135,00 ;5;53;6
5441;Central Manhattan/near Broadway;7989;Kate;Hell's Kitchen;Private room; $85,00 ;2;188;39
5803;Lovely Room 1, Garden, Best Area, Legal rental;9744;Laurie;South Slope;Private room; $89,00 ;4;167;314
6021;Wonderful Guest Bedroom in Manhattan for SINGLES;11528;Claudio;Upper West Side;Private room; $85,00 ;2;113;333
6090;West Village Nest - Superhost;11975;Alina;West Village;Entire home/apt; $120,00 ;90;27;0
6848;Only 2 stops to Manhattan studio;15991;Allen & Irina;Williamsburg;Entire home/apt; $140,00 ;2;148;46
7097;Perfect for Your Parents + Garden;17571;Jane;Fort Greene;Entire home/apt; $215,00 ;2;198;321
7322;Chelsea Perfect;18946;Doti;Chelsea;Private room; $140,00 ;1;260;12
7726;Hip Historic Brownstone Apartment with Backyard;20950;Adam And Charity;Crown Heights;Entire home/apt; $99,00 ;3;53;21
7750;Huge 2 BR Upper East  Cental Park;17985;Sing;East Harlem;Entire home/apt; $190,00 ;7;0;249
7801;Sweet and Spacious Brooklyn Loft;21207;Chaya;Williamsburg;Entire home/apt; $299,00 ;3;9;0
8024;CBG CtyBGd HelpsHaiti rm#1:1-4;22486;Lisel;Park Slope;Private room; $130,00 ;2;130;347
8025;CBG Helps Haiti Room#2.5;22486;Lisel;Park Slope;Private room; $80,00 ;1;39;364
8110;CBG Helps Haiti Rm #2;22486;Lisel;Park Slope;Private room; $110,00 ;2;71;304
8490;MAISON DES SIRENES1,bohemian apartment;25183;Nathalie;Bedford-Stuyvesant;Entire home/apt; $120,00 ;2;88;233
8505;Sunny Bedroom Across Prospect Park;25326;Gregory;Windsor Terrace;Private room; $60,00 ;1;19;85
8700;Magnifique Suite au N de Manhattan - vue Cloitres;26394;Claude & Sophie;Inwood;Private room; $80,00 ;4;0;0
9357;Midtown Pied-a-terre;30193;Tommi;Hell's Kitchen;Entire home/apt; $150,00 ;10;58;75
9518;SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM;31374;Shon;Inwood;Private room; $44,00 ;3;108;311
9657;Modern 1 BR / NYC / EAST VILLAGE;21904;Dana;East Village;Entire home/apt; $180,00 ;14;29;67
9668;front room/double bed;32294;Ssameer Or Trip;Harlem;Private room; $50,00 ;3;242;355
9704;Spacious 1 bedroom in luxe building;32045;Teri;Harlem;Private room; $52,00 ;2;88;255
9782;Loft in Williamsburg Area w/ Roof;32169;Andrea;Greenpoint;Private room; $55,00 ;4;197;284
9783;back room/bunk beds;32294;Ssameer Or Trip;Harlem;Private room; $50,00 ;3;273;359
10452;Large B&B Style rooms;35935;Angela;Bedford-Stuyvesant;Private room; $70,00 ;1;74;269
11452;Clean and Quiet in Brooklyn;7355;Vt;Bedford-Stuyvesant;Private room; $35,00 ;60;0;365
11708;Cute apt in artist's home;44145;Tyrome;Bushwick;Entire home/apt; $85,00 ;2;231;22
11943;Country space in the city;45445;Harriet;Flatbush;Private room; $150,00 ;1;0;365
12048;LowerEastSide apt share shortterm 1;7549;Ben;Lower East Side;Shared room; $40,00 ;1;214;188
12192;ENJOY Downtown NYC!;46978;Edward;East Village;Private room; $68,00 ;2;245;96
12299;Beautiful Sunny Park Slope Brooklyn;47610;Abdul;South Slope;Entire home/apt; $120,00 ;3;15;345
12303;1bdr w private bath. in lofty apt;47618;Yolande;Fort Greene;Private room; $120,00 ;7;25;311
12318;West Side Retreat;16800;Cyn;Upper West Side;Private room; $135,00 ;4;81;273
12343;BEST BET IN HARLEM;47727;Earl;Harlem;Entire home/apt; $150,00 ;7;97;309
12627;Entire apartment in central Brooklyn neighborhood.;49670;Rana;Prospect-Lefferts Gardens;Entire home/apt; $150,00 ;29;11;95
12937;1 Stop fr. Manhattan! Private Suite,Landmark Block;50124;Orestes;Long Island City;Private room; $130,00 ;3;248;215
12940;Charming Brownstone 3 - Near PRATT;50148;Adreinne;Bedford-Stuyvesant;Entire home/apt; $110,00 ;7;61;265
13050;bright and stylish duplex;50846;Jennifer;Bedford-Stuyvesant;Entire home/apt; $115,00 ;3;11;0
13394;Fort Greene brownstone ;52335;Alexander;Fort Greene;Private room; $80,00 ;3;135;192
13808;Blue Room for 2 in Brownstone for $1350 monthly;54275;JT And Tiziana;Bedford-Stuyvesant;Private room; $80,00 ;1;112;251
14287;Cozy 1BD on Central Park West in New York City;56094;Joya;Upper West Side;Entire home/apt; $151,00 ;2;73;302
14290;* ORIGINAL BROOKLYN LOFT *;56104;James;Williamsburg;Entire home/apt; $228,00 ;3;82;140
14314;Greenpoint Place...Has It All! ;56246;Jeanne;Greenpoint;Entire home/apt; $144,00 ;2;328;234
14322;Beautiful Apartment in Manhattan!!!;56284;Francesca;Kips Bay;Entire home/apt; $200,00 ;7;19;257
14377;Williamsburg 1 bedroom Apartment;56512;Joanna;Williamsburg;Entire home/apt; $150,00 ;30;105;30
14991;Great Location, Manhattan Bedroom!;59023;Bianca;Lower East Side;Private room; $110,00 ;5;19;301
15220;Best Location in NYC! TIMES SQUARE!;59734;Luiz;Hell's Kitchen;Private room; $69,00 ;2;289;294
15338;Room in Greenpoint Loft w/ Roof;32169;Andrea;Greenpoint;Private room; $49,00 ;4;138;320
15341;**Bright Nolita Apt w Doorman/Elevators/Gym**;60049;Ted;SoHo;Entire home/apt; $180,00 ;30;21;154
15385;Very, very cozy place;60252;Cristina;Williamsburg;Private room; $80,00 ;2;42;263
15396;Sunny & Spacious Chelsea Apartment;60278;Petra;Chelsea;Entire home/apt; $375,00 ;180;5;180
15711;2 bedroom - Upper East Side-great for kids;61491;D;Upper East Side;Entire home/apt; $250,00 ;2;66;231
16326;Comfortable 4-bedroom apt in family house.;63588;Dimitri;Prospect Heights;Entire home/apt; $200,00 ;30;143;297
16338;Double Room w Private Deck Clinton Hill Best Area;63613;Patricia;Clinton Hill;Private room; $55,00 ;7;27;292
16421;Your Heaven in Hells Kitchen;63924;Mark;Hell's Kitchen;Private room; $52,00 ;30;191;191
16458;Light-filled 2B duplex in the heart of Park Slope!;64056;Sara;Park Slope;Entire home/apt; $225,00 ;3;4;0
16580;Sunny, Modern room in East Village!;64442;Reka;East Village;Private room; $80,00 ;1;338;72
16595;*HAVEN LOFT - Entire Floor - Six Windows - Bricks*;64522;Daniel;Williamsburg;Entire home/apt; $275,00 ;1;148;362
16821;Large Room in Amazing East Village Apt;4396;Casey;East Village;Private room; $99,00 ;1;106;336
16974;SpaHa Loft: Enormous and Bright;65837;Robin;East Harlem;Entire home/apt; $225,00 ;4;190;215
17037;Lovely EV Artist's Home;66035;Anna;East Village;Entire home/apt; $230,00 ;9;49;116
17092;Cool Room in Hell's Kitchen;66243;Enzo;Hell's Kitchen;Private room; $51,00 ;7;23;88
17693;HARLEM, NEW YORK WELCOMES YOU!!;68428;Tye And Etienne;Washington Heights;Private room; $65,00 ;2;49;336
17747;BLUE TRIM GUEST HOUSE;68599;George;Clinton Hill;Private room; $105,00 ;2;105;304
18127;Charming East Village One Bedroom Flat;69829;Josh;East Village;Entire home/apt; $190,00 ;5;21;224
18152;Manhattan Room;69942;Victoria;Upper East Side;Private room; $200,00 ;1;142;322
18198;Little King of Queens;70091;Justin;Woodside;Private room; $70,00 ;30;25;324
18590;Fort Greene Retreat on the Park;71512;Blaise;Fort Greene;Private room; $95,00 ;3;143;132
18728;Beautiful Meatpacking District Loft;71876;DAVID And RICK;Chelsea;Private room; $150,00 ;3;167;295
18764;Cozy 2 BR in Williamsburg ;72014;Lulú;Williamsburg;Private room; $145,00 ;3;61;238
19159;Spacious luminous apt Upper West NYC;73051;Sybilla;Harlem;Entire home/apt; $110,00 ;31;54;209
19169;Entire 2 Bedroom - Large & Sunny;73128;JoLynn;Lower East Side;Entire home/apt; $285,00 ;5;70;328
19282;Sunny, Spacious Top Floor Haven;73469;Gaia;Flatbush;Entire home/apt; $130,00 ;6;16;38
19319;Private room Great Deal at Lower East Side;44263;Ana;Lower East Side;Private room; $94,00 ;30;94;188
19601;perfect for a family or small group;74303;Maggie;Brooklyn Heights;Entire home/apt; $800,00 ;1;25;7
19812;2 bedroom Williamsburg Apt - Bedford L stop;74857;Starlee;Williamsburg;Entire home/apt; $105,00 ;3;61;272
20299;Oh glorious spring!;62407;Edward;East Village;Private room; $60,00 ;3;194;26
20300;Great Location for NYC;76627;Pas;East Village;Private room; $50,00 ;1;2;0
20611;Cozy Bedroom in Williamsburg 3 BR;72014;Lulú;Williamsburg;Private room; $85,00 ;3;174;288
20724;Sunny room+Pvte office in huge loft;961342;Augustin;Bushwick;Private room; $65,00 ;4;24;317
20734;Spacious Prospect Heights Apartment;78460;Sean & Lynette;Prospect Heights;Entire home/apt; $131,00 ;4;166;207
20755;Large Parlor Room, Landmark Home 1 block to PRATT;51038;Erica;Clinton Hill;Private room; $98,00 ;7;16;185
20853;2-bed brownstone duplex + garden;79070;Tracy;Prospect Heights;Entire home/apt; $250,00 ;7;21;158
20913;Charming 1 bed GR8 WBurg LOCATION!;79402;Christiana;Williamsburg;Entire home/apt; $100,00 ;5;168;0
21293;Sunny Apartment in Artist Home;44145;Tyrome;Bushwick;Entire home/apt; $105,00 ;3;118;9
21456;Light-filled classic Central Park ;42032;Dana;Upper West Side;Entire home/apt; $140,00 ;3;81;198
21644;Upper Manhattan, New York;82685;Elliott;Harlem;Private room; $89,00 ;1;1;365
21794;COZY QUIET room 4 DOOGLERS!;83257;Olan;Chelsea;Private room; $98,00 ;30;30;364
22911;The Stuydio Modern and Light Filled;87773;Shelly;Bedford-Stuyvesant;Entire home/apt; $125,00 ;7;139;311
22918;loft bed - near transportation-15min to times sq;32294;Ssameer Or Trip;Harlem;Private room; $60,00 ;3;11;219
23135;House On Henry (3rd FLR Suite);11481;Annette;Carroll Gardens;Entire home/apt; $175,00 ;2;233;342
23501;Monkey Retreat Manhattan;63318;Meka;Washington Heights;Private room; $65,00 ;2;68;312
23686;2000 SF 3br 2bath West Village private  townhouse;93790;Ann;West Village;Entire home/apt; $500,00 ;4;46;243
24143;Williamsburg—Steps To Subway, Private Bath&Balcony;97219;Seth;Williamsburg;Private room; $101,00 ;3;335;152
24285;Beautiful Duplex Apartment;97797;Brenda;Park Slope;Entire home/apt; $220,00 ;30;88;9
25235;Large 2 Bedroom Great for Groups!;87773;Shelly;Bedford-Stuyvesant;Entire home/apt; $125,00 ;90;162;137
25406;Modern Brooklyn Apt., August sublet;105538;Erik;Williamsburg;Entire home/apt; $80,00 ;30;29;222
25696;1,800 sq foot in luxury building;107628;Dena;Harlem;Private room; $100,00 ;2;170;346
26012;Sunny 2-story Brooklyn townhouse w deck and garden;109589;Jessica;Gowanus;Entire home/apt; $200,00 ;30;19;208
26362;Times Square, Safe, Clean and Cozy!;59734;Luiz;Hell's Kitchen;Private room; $59,00 ;2;334;279
26520;Cozy Room #3, Landmark Home 1 Block to PRATT;51038;Erica;Clinton Hill;Private room; $125,00 ;2;19;250
26559;Beautiful Apartment East Village;112793;Sally;East Village;Entire home/apt; $140,00 ;7;12;164
26785;Park Slope Green Guest House;42273;Dani;South Slope;Entire home/apt; $120,00 ;30;467;192
26933;2 BR / 2 Bath Duplex Apt with patio! East Village;72062;Bruce;East Village;Entire home/apt; $350,00 ;2;7;298
26954;NYC fabulous views Manhattan's eye;115157;Nimo;Kips Bay;Entire home/apt; $199,00 ;5;38;260
26969;2 story family home in Williamsburg;115307;Alexandra;Williamsburg;Entire home/apt; $325,00 ;3;324;107
27006;Comfortable UWS 2-BD Family-Friendly Brownstone;115560;Stacy;Upper West Side;Entire home/apt; $235,00 ;6;27;199
27385;Great Large 1 BR apt  in East Village!;72062;Bruce;East Village;Entire home/apt; $225,00 ;1;115;299
